theme,airline,count,share_within_theme_pct
baggage problems,Spirit Airlines,332,5.26
baggage problems,Ryanair,190,3.01
baggage problems,United Airlines,139,2.2
baggage problems,Frontier Airlines,134,2.12
baggage problems,British Airways,121,1.92
baggage problems,Easyjet,119,1.88
baggage problems,Jet Airways,104,1.65
baggage problems,Wizz Air,103,1.63
baggage problems,Vueling Airlines,100,1.58
baggage problems,Allegiant Air,97,1.54
baggage problems,Air Canada,95,1.5
baggage problems,American Airlines,92,1.46
baggage problems,Norwegian,85,1.35
baggage problems,Jetstar Airways,82,1.3
baggage problems,Southwest Airlines,78,1.23
baggage problems,Sunwing Airlines,77,1.22
baggage problems,Aer Lingus,75,1.19
baggage problems,Us Airways,75,1.19
baggage problems,Tap Portugal,74,1.17
baggage problems,Airasia,72,1.14
baggage problems,Emirates,70,1.11
baggage problems,Delta Air Lines,65,1.03
baggage problems,Turkish Airlines,65,1.03
baggage problems,Etihad Airways,63,1.0
baggage problems,Jet2 Com,63,1.0
baggage problems,Air Berlin,61,0.97
baggage problems,Monarch Airlines,60,0.95
baggage problems,Lufthansa,59,0.93
baggage problems,Air Transat,58,0.92
baggage problems,Tigerair,57,0.9
baggage problems,Flybe,55,0.87
baggage problems,Alitalia,53,0.84
baggage problems,Iberia,50,0.79
baggage problems,Aegean Airlines,48,0.76
baggage problems,Sas Scandinavian Airlines,48,0.76
baggage problems,Thomas Cook Airlines,48,0.76
baggage problems,Air Canada Rouge,47,0.74
baggage problems,Icelandair,47,0.74
baggage problems,Qantas Airways,47,0.74
baggage problems,Virgin Atlantic Airways,47,0.74
baggage problems,Klm Royal Dutch Airlines,46,0.73
baggage problems,Qatar Airways,46,0.73
baggage problems,Air France,44,0.7
baggage problems,Airbaltic,43,0.68
baggage problems,Virgin Australia,43,0.68
baggage problems,Brussels Airlines,42,0.66
baggage problems,Hawaiian Airlines,42,0.66
baggage problems,Finnair,41,0.65
baggage problems,Virgin America,41,0.65
baggage problems,Airasia X,40,0.63
baggage problems,China Eastern Airlines,40,0.63
baggage problems,China Southern Airlines,40,0.63
baggage problems,Garuda Indonesia,40,0.63
baggage problems,Air New Zealand,39,0.62
baggage problems,Alaska Airlines,39,0.62
baggage problems,Ethiopian Airlines,39,0.62
baggage problems,Swiss International Air Lines,39,0.62
baggage problems,Thomson Airways,38,0.6
baggage problems,Vietnam Airlines,38,0.6
baggage problems,Air India,37,0.59
baggage problems,Malaysia Airlines,37,0.59
baggage problems,Philippine Airlines,36,0.57
baggage problems,Aeroflot Russian Airlines,35,0.55
baggage problems,Lan Airlines,35,0.55
baggage problems,Royal Air Maroc,35,0.55
baggage problems,Jetblue Airways,34,0.54
baggage problems,Pegasus Airlines,34,0.54
baggage problems,Air Europa,33,0.52
baggage problems,South African Airways,33,0.52
baggage problems,Tam Airlines,32,0.51
baggage problems,Cathay Pacific Airways,31,0.49
baggage problems,Condor Airlines,31,0.49
baggage problems,Bangkok Airways,30,0.47
baggage problems,Bmi British Midland International,30,0.47
baggage problems,Kenya Airways,29,0.46
baggage problems,Liat,29,0.46
baggage problems,China Airlines,28,0.44
baggage problems,Egyptair,28,0.44
baggage problems,Scoot,28,0.44
baggage problems,Air China,26,0.41
baggage problems,Austrian Airlines,26,0.41
baggage problems,Germanwings,26,0.41
baggage problems,Eva Air,25,0.4
baggage problems,Continental Airlines,24,0.38
baggage problems,Aeromexico,23,0.36
baggage problems,Ukraine International Airlines,23,0.36
baggage problems,Srilankan Airlines,22,0.35
baggage problems,Thai Airways,21,0.33
baggage problems,Ana All Nippon Airways,20,0.32
baggage problems,Nok Air,20,0.32
baggage problems,Precision,20,0.32
baggage problems,Avianca,19,0.3
baggage problems,Cebu Pacific,19,0.3
baggage problems,Porter Airlines,19,0.3
baggage problems,Cityjet,18,0.28
baggage problems,Csa Czech Airlines,18,0.28
baggage problems,Fiji Airways,18,0.28
baggage problems,Indigo Airlines,18,0.28
baggage problems,Aerolineas Argentinas,17,0.27
baggage problems,Copa Airlines,17,0.27
baggage problems,Kuwait Airways,17,0.27
baggage problems,Transavia,17,0.27
baggage problems,Asiana Airlines,16,0.25
baggage problems,El Al Israel Airlines,16,0.25
baggage problems,Korean Air,16,0.25
baggage problems,Singapore Airlines,16,0.25
baggage problems,Volaris,16,0.25
baggage problems,Air Serbia,15,0.24
baggage problems,Jetstar Asia,15,0.24
baggage problems,Lot Polish Airlines,15,0.24
baggage problems,Oman Air,15,0.24
baggage problems,Saudi Arabian Airlines,14,0.22
baggage problems,Silkair,14,0.22
baggage problems,Tarom Romanian Airlines,14,0.22
baggage problems,Westjet,14,0.22
baggage problems,Gulf Air,13,0.21
baggage problems,Meridiana,13,0.21
baggage problems,Air Malta,12,0.19
baggage problems,American Eagle,12,0.19
baggage problems,Royal Brunei Airlines,12,0.19
baggage problems,Royal Jordanian Airlines,12,0.19
baggage problems,Taca,12,0.19
baggage problems,Dragonair,11,0.17
baggage problems,Goair,11,0.17
baggage problems,Regional Express,11,0.17
baggage problems,Sun Country Airlines,11,0.17
baggage problems,Air Koryo,10,0.16
baggage problems,Cubana Airlines,10,0.16
baggage problems,Flydubai,10,0.16
baggage problems,Hainan Airlines,10,0.16
baggage problems,Pia Pakistan International Airlines,10,0.16
baggage problems,Spirit,10,0.16
baggage problems,Tuifly,10,0.16
baggage problems,Xl Airways France,10,0.16
baggage problems,Air Tahiti Nui,9,0.14
baggage problems,Alaska,9,0.14
baggage problems,Croatia Airlines,9,0.14
baggage problems,Firefly,9,0.14
baggage problems,Malindo Air,9,0.14
baggage problems,Niki,9,0.14
baggage problems,Onur Air,9,0.14
baggage problems,Spicejet,9,0.14
baggage problems,United,9,0.14
baggage problems,Air Algerie,8,0.13
baggage problems,Ba Cityflyer,8,0.13
baggage problems,Blue Air,8,0.13
baggage problems,Blue Islands,8,0.13
baggage problems,Bulgaria Air,8,0.13
baggage problems,Hong Kong,8,0.13
baggage problems,Lan Peru,8,0.13
baggage problems,Santa Barbara,8,0.13
baggage problems,Southwest,8,0.13
baggage problems,Afriqiyah Airways,7,0.11
baggage problems,Air Astana,7,0.11
